run_name,date,ablation_id,model_variant,backbone,input_type,num_frames,pgm_smoother,lambda_smooth,information_matrix,use_alpha,classifier,batch_size,lr,epochs,best_val_top1,best_val_epoch,test_top1,checkpoint_best,run_dir,notes

2026-05-18_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_ed5b,2026-05-18T14:59:28,E0,mean_pool_baseline,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,none,,none,False,mlp,4,1e-4,1,0.0,1,,/tmp/pgm_project_runpod_full_runs/2026-05-18_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_ed5b/checkpoints/best.pt,/tmp/pgm_project_runpod_full_runs/2026-05-18_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_ed5b,RunPod full training launcher run.
2026-05-19_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_6dc8,2026-05-19T21:05:42,E0,mean_pool_baseline,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,none,,none,False,mlp,16,0.0001,2,0.038461538461538464,2,,/workspace/PGM_project/outputs/runs/2026-05-19_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_6dc8/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-19_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_6dc8,Small fake ablation launcher run.
2026-05-19_E1_diff_only_lambdanone_alphafalse_mlp_b9e6,2026-05-19T21:05:42,E1,diff_only,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,none,,none,False,mlp,16,0.0001,2,0.0,2,,/workspace/PGM_project/outputs/runs/2026-05-19_E1_diff_only_lambdanone_alphafalse_mlp_b9e6/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-19_E1_diff_only_lambdanone_alphafalse_mlp_b9e6,Small fake ablation launcher run.
2026-05-19_E2_diff_pgm_lambda1.0_alphafalse_mlp_01d4,2026-05-19T21:05:43,E2,diff_pgm,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,none,False,mlp,16,0.0001,2,0.0,2,,/workspace/PGM_project/outputs/runs/2026-05-19_E2_diff_pgm_lambda1.0_alphafalse_mlp_01d4/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-19_E2_diff_pgm_lambda1.0_alphafalse_mlp_01d4,Small fake ablation launcher run.
2026-05-19_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_19bf,2026-05-19T21:05:43,E3,diff_pgm_info,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,mlp,16,0.0001,2,0.038461538461538464,2,,/workspace/PGM_project/outputs/runs/2026-05-19_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_19bf/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-19_E3_diff_pgm_info_lambda1.0_alphatrue_mlp_19bf,Small fake ablation launcher run.
2026-05-19_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_b7dc,2026-05-19T21:05:44,E4,diff_pgm_info_attention,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,attention_pool,16,0.0001,2,0.0,2,,/workspace/PGM_project/outputs/runs/2026-05-19_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_b7dc/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-19_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_b7dc,Small fake ablation launcher run.
2026-05-19_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_0982,2026-05-19T21:53:25,E0,mean_pool_baseline,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,none,,none,False,mlp,8,0.0001,2,0.0,2,,/workspace/PGM_project/outputs/runs/2026-05-19_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_0982/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-19_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_0982,Small real ablation launcher run.
2026-05-19_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_17a3,2026-05-19T21:53:25,E4,diff_pgm_info_attention,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,gaussian_chain,1.0,accumulator,True,attention_pool,8,0.0001,2,0.0,2,,/workspace/PGM_project/outputs/runs/2026-05-19_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_17a3/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-19_E4_diff_pgm_info_attention_lambda1.0_alphatrue_attention_17a3,Small real ablation launcher run.
2026-05-19_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_f9a7,2026-05-19T22:03:26,E0,mean_pool_baseline,precomputed_clip_vit_b16,precomputed_clip_vit_b16_frame_embeddings,16,none,,none,False,mlp,16,0.0001,3,0.25,3,,/workspace/PGM_project/outputs/runs/2026-05-19_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_f9a7/checkpoints/best.pt,/workspace/PGM_project/outputs/runs/2026-05-19_E0_mean_pool_baseline_lambdanone_alphafalse_mlp_f9a7,Small real ablation launcher run.
