source_config,ablation_id,model_variant,classifier_type,lambda_smooth,frame_pgm_type,frame_lambda_smooth,best_val_top1,best_val_epoch,best_val_loss,epochs_trained,final_train_top1,final_val_top1,run_dir,checkpoint_best
P3_trajectory_matrix_linear_noPGM.yaml,P-noPGM,p_traj_no_pgm,trajectory_matrix_attention,,none,,0.1760496183206107,22,3.14469455580675,52,0.5988835225490811,0.15458015267175573,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-noPGM_p_traj_no_pgm_lambdanone_alphafalse_trajectory_matrix_attention_ebcc,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-noPGM_p_traj_no_pgm_lambdanone_alphafalse_trajectory_matrix_attention_ebcc\checkpoints\best.pt
P4_trajectory_matrix_linear_pgm_lam005.yaml,P-PGM,p_traj_pgm,trajectory_matrix_attention,0.05,post_projected_gaussian_chain,0.05,0.17938931297709923,22,3.132146473149307,52,0.5988207990967823,0.16603053435114504,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.05_alphafalse_trajectory_matrix_attention_4958,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.05_alphafalse_trajectory_matrix_attention_4958\checkpoints\best.pt
P5_trajectory_matrix_linear_pgm_lam010.yaml,P-PGM,p_traj_pgm,trajectory_matrix_attention,0.1,post_projected_gaussian_chain,0.1,0.17986641221374045,38,3.803528791165534,68,0.6769742206611052,0.14646946564885496,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.1_alphafalse_trajectory_matrix_attention_94c8,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.1_alphafalse_trajectory_matrix_attention_94c8\checkpoints\best.pt
P8_trajectory_matrix_linear_pgm_lam020.yaml,P-PGM,p_traj_pgm,trajectory_matrix_attention,0.2,post_projected_gaussian_chain,0.2,0.17938931297709923,35,3.491269175332921,65,0.6557736937841059,0.14456106870229007,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.2_alphafalse_trajectory_matrix_attention_0f9e,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.2_alphafalse_trajectory_matrix_attention_0f9e\checkpoints\best.pt
P9_trajectory_matrix_linear_pgm_lam030.yaml,P-PGM,p_traj_pgm,trajectory_matrix_attention,0.3,post_projected_gaussian_chain,0.3,0.18225190839694658,27,3.241240117386097,57,0.5971899893370131,0.15219465648854963,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.3_alphafalse_trajectory_matrix_attention_01d5,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.3_alphafalse_trajectory_matrix_attention_01d5\checkpoints\best.pt
P10_trajectory_matrix_linear_pgm_lam040.yaml,P-PGM,p_traj_pgm,trajectory_matrix_attention,0.4,post_projected_gaussian_chain,0.4,0.18606870229007633,35,3.4414394757219853,65,0.6326287398858433,0.15935114503816794,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.4_alphafalse_trajectory_matrix_attention_4fbe,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.4_alphafalse_trajectory_matrix_attention_4fbe\checkpoints\best.pt
P14_trajectory_matrix_linear_pgm_lam050.yaml,P-PGM,p_traj_pgm,trajectory_matrix_attention,0.5,post_projected_gaussian_chain,0.5,0.1855916030534351,27,3.2179359243116306,57,0.5872169604215016,0.16412213740458015,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.5_alphafalse_trajectory_matrix_attention_8ac9,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.5_alphafalse_trajectory_matrix_attention_8ac9\checkpoints\best.pt
P15_trajectory_matrix_linear_pgm_lam060.yaml,P-PGM,p_traj_pgm,trajectory_matrix_attention,0.6,post_projected_gaussian_chain,0.6,0.18654580152671757,35,3.3929079070346044,65,0.6222793702565389,0.15410305343511452,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.6_alphafalse_trajectory_matrix_attention_62a2,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.6_alphafalse_trajectory_matrix_attention_62a2\checkpoints\best.pt
P16_trajectory_matrix_linear_pgm_lam070.yaml,P-PGM,p_traj_pgm,trajectory_matrix_attention,0.7,post_projected_gaussian_chain,0.7,0.1851145038167939,27,3.2107515990279105,57,0.5818227435238036,0.17223282442748092,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.7_alphafalse_trajectory_matrix_attention_8522,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.7_alphafalse_trajectory_matrix_attention_8522\checkpoints\best.pt
P17_trajectory_matrix_linear_pgm_lam080.yaml,P-PGM,p_traj_pgm,trajectory_matrix_attention,0.8,post_projected_gaussian_chain,0.8,0.18129770992366412,29,3.3534931444939766,59,0.5872169604215016,0.1765267175572519,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.8_alphafalse_trajectory_matrix_attention_8804,C:\Users\ziyan\OneDrive\Desktop\PGM_project\outputs\p_series_attention_sweep\2026-05-28_P-PGM_p_traj_pgm_lambdaframefixed0.8_alphafalse_trajectory_matrix_attention_8804\checkpoints\best.pt
