epoch,train_loss,val_loss,train_top1,val_top1,val_correction_magnitude,val_observation_residual,val_smoothness_energy,val_frame_pgm_correction_magnitude,val_frame_pgm_observation_residual,val_frame_pgm_smoothness_energy,lr,epoch_time_sec
1,3.504023366371317,3.5234514756967092,0.07809069811202408,0.08492366412213741,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.8947779999580234
2,3.209653017175906,3.4468886997863537,0.10819795521545506,0.0868320610687023,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7508142999722622
3,3.036324045301149,3.3699079924867354,0.13498086934704887,0.11641221374045801,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.804920900030993
4,2.8935053167891667,3.19205620270649,0.15310794706140626,0.1321564885496183,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7631914999801666
5,2.7961405108386703,3.1666171259552467,0.16571536097346798,0.13072519083969467,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7460088000516407
6,2.7162073882260347,3.1503631358838264,0.18559869535219217,0.14599236641221375,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7575445999973454
7,2.6610771796189354,3.094163266757062,0.19619895879069185,0.15171755725190839,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7793617999996059
8,2.605514750893095,3.1054431227327304,0.2054820297309164,0.15648854961832062,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7726289000129327
9,2.5636631864186312,3.094446546248807,0.2179639967383805,0.14694656488549618,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7660193999763578
10,2.524083508591591,3.108945655458756,0.23151226243492443,0.14933206106870228,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.746212900034152
11,2.4833301396918164,3.1378644404520517,0.24286520730100986,0.1474236641221374,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.767690299951937
12,2.4408128963228317,3.151821689751312,0.2503920215768676,0.14933206106870228,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.8076550000114366
13,2.416939432525443,3.0718900975380237,0.25835790001881703,0.16173664122137404,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7452604999998584
14,2.3700906606179024,3.1007805762400156,0.2751677852348993,0.16030534351145037,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.780140199989546
15,2.3311363147805464,3.0893505747991665,0.28438813272282504,0.16221374045801526,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.8076314999489114
16,2.3094885971079147,3.138702740196053,0.2896569027159255,0.15601145038167938,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7718622999964282
17,2.26938664269389,3.153325555888751,0.30025716615442516,0.14885496183206107,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7420489999931306
18,2.232279200749199,3.1447954851252433,0.31054381233143075,0.17127862595419846,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.785442000022158
19,2.21010836878692,3.1292503316893834,0.3223985448159067,0.15982824427480916,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7820395000162534
20,2.1616621563741614,3.1830188682061116,0.33143072194693596,0.1650763358778626,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7876733999582939
21,2.14468648292665,3.2730036746454605,0.34203098538543564,0.16364503816793893,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.8110822000307962
22,2.1197501807621686,3.141664521384785,0.3511258859687637,0.1741412213740458,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7806095000123605
23,2.082280838047629,3.2460261610628085,0.35338393025152104,0.17938931297709923,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.787590599968098
24,2.0518088808234958,3.3530522721414346,0.3726400301072571,0.1693702290076336,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7743477000040002
25,2.031670384325392,3.335174358528079,0.37414539296242866,0.16030534351145037,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7737777999718674
26,1.9903903409482573,3.3214510870343856,0.3890108511572477,0.17318702290076335,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7630614999798127
27,1.9747954709073916,3.2429480825671715,0.3880072759204667,0.183206106870229,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.766213399998378
28,1.9524469332541574,3.2557014563611446,0.3945305149595434,0.17032442748091603,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.760429900023155
29,1.9225131292411333,3.3631072572169414,0.404127203161262,0.1851145038167939,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7646732999710366
30,1.8856680601683837,3.3625331925981827,0.4174872985009095,0.16698473282442747,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7772620999603532
31,1.8653621341894586,3.460047831062142,0.4218779401618265,0.16793893129770993,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7671017000102438
32,1.8292171851399626,3.4888411059634374,0.43285454431411907,0.17509541984732824,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7815897000255063
33,1.807209977083446,3.5728608924923964,0.441322210374459,0.16841603053435114,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7767058999743313
34,1.797395124389365,3.484137962792666,0.44502289406008905,0.18368320610687022,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.8056733999983408
35,1.7712673304005144,3.416185861325446,0.4485981308411215,0.18129770992366412,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7429572000401095
36,1.7400891182750589,3.6964195466223564,0.46177005582387254,0.1784351145038168,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.7420131000108086
37,1.7152608251778025,3.757279170378474,0.4701122749796149,0.16650763358778625,,,,0.13289920689950463,3.9019045386221684e-05,5.7348377817356604e-05,0.0001,1.783794899994973
